ID_Wine,Price,Review
316,5.0,5.4
290,4.99,6.1
217,5.5,7.1
255,19.99,9.0
740,3.5,7.4
521,3.0,2.2
315,4.5,8.3
654,13.0,7.4
187,11.5,3.2
745,4.5,7.4
233,20.0,9.8
78,20.5,9.2
912,2.99,2.4
98,11.99,2.6
425,2.99,2.4
786,20.99,9.7
781,14.0,7.5
582,13.99,7.7
43,3.5,6.1
343,19.99,9.4
157,13.99,6.6
646,4.99,7.0
333,3.0,2.3
888,2.99,1.4
235,3.99,8.3
189,12.99,7.6
106,2.99,1.9
870,12.99,3.0
892,3.5,1.7
713,6.0,7.2
639,2.99,2.0
123,4.0,7.2
478,14.0,8.8
320,14.5,8.4
47,13.99,8.0
511,14.5,8.3
321,19.0,9.4
963,14.0,7.9
657,11.99,3.5
192,14.99,8.0
102,4.5,5.8
953,11.99,3.1
787,2.0,2.8
606,13.99,7.7
100,3.5,2.1
229,2.5,1.9
922,14.99,8.3
250,3.99,1.6
951,19.99,9.5
899,5.99,5.9
823,20.5,10.4
7,3.99,2.0
857,13.99,9.1
602,5.5,7.4
512,4.0,5.9
428,11.99,2.8
49,2.99,2.0
580,2.5,2.2
251,11.5,3.2
689,12.99,2.8
377,20.99,9.0
544,2.99,2.2
272,15.0,8.5
301,12.99,3.2
708,5.99,6.6
965,19.5,8.8
222,2.5,2.8
727,3.0,2.1
790,4.5,4.2
937,20.0,9.4
908,4.5,6.2
173,2.99,2.2
685,11.99,3.5
517,13.5,8.8
369,5.5,8.7
989,3.99,6.2
525,12.0,3.1
11,12.5,3.1
978,20.0,9.3
545,19.99,9.4
171,19.5,10.0
228,11.5,2.7
840,11.99,2.3
626,14.99,7.4
691,14.0,6.9
667,11.99,2.6
962,4.99,5.2
644,2.99,2.7
45,19.99,9.7
917,14.0,7.9
785,2.99,2.3
738,15.0,7.5
429,20.99,9.5
784,14.0,7.8
818,6.0,5.5
389,19.0,9.1
596,4.5,5.9
726,5.0,7.5
603,3.5,6.1
755,11.99,3.8
814,15.5,8.3
605,20.0,9.7
318,3.5,2.1
742,13.0,6.9
736,14.5,9.3
983,13.0,9.1
184,20.0,9.5
650,12.0,2.2
391,11.5,2.6
721,12.99,2.9
177,11.5,2.8
374,4.99,6.6
666,4.5,5.6
841,3.0,7.4
552,5.5,7.0
41,14.0,8.6
581,3.0,1.8
467,2.99,2.0
147,19.99,8.9
893,12.0,3.5
938,14.99,7.9
607,3.99,1.4
65,6.5,7.4
529,13.0,3.0
30,3.5,6.9
331,3.0,2.2
234,20.0,9.9
109,3.5,2.3
865,5.0,6.6
276,5.5,6.6
326,14.0,7.2
139,14.99,8.1
129,13.0,3.9
90,3.0,2.3
578,11.0,2.9
477,11.99,2.6
867,6.5,8.7
524,12.0,2.7
231,11.99,3.5
416,14.0,6.4
393,14.5,7.3
124,4.99,7.1
934,13.0,8.8
993,3.0,1.9
4,7.0,5.4
594,14.99,8.8
830,5.5,5.7
959,12.0,3.8
1,2.5,1.4
312,12.99,3.0
733,19.0,9.2
630,11.5,2.3
592,13.99,7.4
430,14.5,8.0
154,2.99,2.7
33,20.0,9.1
53,2.99,7.3
501,4.99,6.4
631,11.5,2.8
541,14.0,8.1
288,11.0,4.0
214,3.0,2.2
837,11.99,3.2
977,20.5,8.6
6,12.5,3.2
181,3.0,7.4
210,4.0,5.7
314,11.5,3.1
881,20.99,8.4
836,20.5,9.4
350,3.0,1.9
224,3.5,6.4
777,20.0,9.3
546,20.99,8.7
948,14.99,7.7
79,2.99,1.5
20,13.5,8.7
660,12.5,2.9
219,11.99,3.4
112,3.0,2.5
34,20.0,9.5
308,3.99,2.6
19,19.5,8.8
193,13.5,8.2
209,3.5,7.8
898,2.99,2.1
67,6.0,4.4
237,14.0,9.8
611,3.5,2.3
933,2.99,1.9
669,11.0,2.7
345,3.99,1.5
332,12.99,3.1
774,13.99,9.4
715,5.5,7.9
421,19.5,9.1
436,2.99,1.7
476,12.5,2.3
588,3.99,2.5
819,5.5,9.0
561,12.0,3.0
1000,13.0,9.1
18,13.0,8.0
971,12.5,2.7
509,12.0,3.1
884,3.0,1.9
732,3.0,0.9
748,4.99,9.4
822,13.99,8.3
737,5.0,7.7
204,14.99,8.2
