,title,release_date,runtime,vote_count,vote_average,budget,revenue,profit,rating_category
0,Avatar,2009-12-10,162,11800,7.2,237.0,2787.965087,2550.965087,Good
1,Pirates of the Caribbean: At World's End,2007-05-19,169,4500,6.9,300.0,961.0,661.0,Average
2,Spectre,2015-10-26,148,4466,6.3,245.0,880.674609,635.674609,Average
3,The Dark Knight Rises,2012-07-16,165,9106,7.6,250.0,1084.939099,834.9390989999999,Good
4,John Carter,2012-03-07,132,2124,6.1,260.0,284.1391,24.139099999999985,Average
5,Spider-Man 3,2007-05-01,139,3576,5.9,258.0,890.871626,632.871626,Average
6,Tangled,2010-11-24,100,3330,7.4,260.0,591.794936,331.794936,Good
7,Avengers: Age of Ultron,2015-04-22,141,6767,7.3,280.0,1405.403694,1125.403694,Good
8,Harry Potter and the Half-Blood Prince,2009-07-07,153,5293,7.4,250.0,933.959197,683.959197,Good
9,Batman v Superman: Dawn of Justice,2016-03-23,151,7004,5.7,250.0,873.260194,623.260194,Average
10,Superman Returns,2006-06-28,154,1400,5.4,270.0,391.081192,121.08119199999999,Average
11,Quantum of Solace,2008-10-30,106,2965,6.1,200.0,586.090727,386.090727,Average
12,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,151,5246,7.0,200.0,1065.659812,865.6598120000001,Good
13,The Lone Ranger,2013-07-03,149,2311,5.9,255.0,89.28991,-165.71008999999998,Average
14,Man of Steel,2013-06-12,143,6359,6.5,225.0,662.845518,437.84551799999997,Average
15,The Chronicles of Narnia: Prince Caspian,2008-05-15,150,1630,6.3,225.0,419.651413,194.651413,Average
16,The Avengers,2012-04-25,143,11776,7.4,220.0,1519.55791,1299.55791,Good
17,Pirates of the Caribbean: On Stranger Tides,2011-05-14,136,4948,6.4,380.0,1045.713802,665.713802,Average
18,Men in Black 3,2012-05-23,106,4160,6.2,225.0,624.026776,399.02677600000004,Average
19,The Hobbit: The Battle of the Five Armies,2014-12-10,144,4760,7.1,250.0,956.019788,706.019788,Good
20,The Amazing Spider-Man,2012-06-27,136,6586,6.5,215.0,752.215857,537.215857,Average
21,Robin Hood,2010-05-12,140,1398,6.2,200.0,310.66954,110.66953999999998,Average
22,The Hobbit: The Desolation of Smaug,2013-12-11,161,4524,7.6,250.0,958.4,708.4,Good
23,The Golden Compass,2007-12-04,113,1303,5.8,180.0,372.234864,192.23486400000002,Average
24,King Kong,2005-12-14,187,2337,6.6,207.0,550.0,343.0,Average
25,Titanic,1997-11-18,194,7562,7.5,200.0,1845.034188,1645.034188,Good
26,Captain America: Civil War,2016-04-27,147,7241,7.1,250.0,1153.304495,903.3044950000001,Good
27,Battleship,2012-04-11,131,2114,5.5,209.0,303.025485,94.025485,Average
28,Jurassic World,2015-06-09,124,8662,6.5,150.0,1513.52881,1363.52881,Average
29,Skyfall,2012-10-25,143,7604,6.9,200.0,1108.561013,908.561013,Average
30,Spider-Man 2,2004-06-25,127,4321,6.7,200.0,783.766341,583.766341,Average
31,Iron Man 3,2013-04-18,130,8806,6.8,200.0,1215.439994,1015.4399940000001,Average
32,Alice in Wonderland,2010-03-03,108,4645,6.4,200.0,1025.49111,825.4911099999999,Average
33,X-Men: The Last Stand,2006-05-24,104,3525,6.3,210.0,459.359555,249.359555,Average
34,Monsters University,2013-06-20,104,3528,7.0,200.0,743.559607,543.559607,Good
35,Transformers: Revenge of the Fallen,2009-06-19,150,3138,6.0,150.0,836.297228,686.297228,Average
36,Transformers: Age of Extinction,2014-06-25,165,3095,5.8,210.0,1091.405097,881.4050970000001,Average
37,Oz: The Great and Powerful,2013-03-07,130,3530,5.7,200.0,491.868548,291.868548,Average
38,The Amazing Spider-Man 2,2014-04-16,142,4179,6.5,200.0,705.717432,505.71743200000003,Average
39,TRON: Legacy,2010-12-10,125,2841,6.3,170.0,400.062763,230.06276300000002,Average
40,Cars 2,2011-06-11,106,2033,5.8,200.0,559.852396,359.852396,Average
41,Green Lantern,2011-06-16,114,2487,5.1,200.0,219.851172,19.85117199999999,Average
42,Toy Story 3,2010-06-16,103,4597,7.6,200.0,1066.969703,866.969703,Good
43,Terminator Salvation,2009-05-20,115,2463,5.9,200.0,371.353001,171.353001,Average
44,Furious 7,2015-04-01,137,4176,7.3,190.0,1506.24936,1316.24936,Good
45,World War Z,2013-06-20,116,5560,6.7,200.0,531.865,331.865,Average
46,X-Men: Days of Future Past,2014-05-15,131,6032,7.5,250.0,747.862775,497.86277500000006,Good
47,Star Trek Into Darkness,2013-05-05,132,4418,7.4,190.0,467.365246,277.365246,Good
48,Jack the Giant Slayer,2013-02-27,114,2598,5.5,195.0,197.687603,2.6876029999999957,Average
49,The Great Gatsby,2013-05-10,143,3769,7.3,105.0,351.040419,246.04041899999999,Good
50,Prince of Persia: The Sands of Time,2010-05-19,116,2317,6.2,150.0,335.154643,185.15464300000002,Average
51,Pacific Rim,2013-07-11,131,4794,6.7,180.0,407.602906,227.60290600000002,Average
52,Transformers: Dark of the Moon,2011-06-28,154,3299,6.1,195.0,1123.746996,928.7469960000001,Average
53,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,122,2495,5.7,185.0,786.636033,601.636033,Average
54,The Good Dinosaur,2015-11-14,93,1736,6.6,175.0,331.926147,156.92614700000001,Average
55,Brave,2012-06-21,93,4641,6.7,185.0,538.983207,353.983207,Average
56,Star Trek Beyond,2016-07-07,122,2568,6.6,185.0,343.471816,158.471816,Average
57,WALL·E,2008-06-22,98,6296,7.8,180.0,521.31186,341.31186,Good
58,Rush Hour 3,2007-08-08,91,783,6.1,140.0,258.022233,118.02223300000003,Average
59,2012,2009-10-10,158,4903,5.6,200.0,769.653595,569.653595,Average
60,A Christmas Carol,2009-11-04,96,1095,6.6,200.0,325.233863,125.23386299999999,Average
61,Jupiter Ascending,2015-02-04,124,2768,5.2,176.000003,183.987723,7.987719999999996,Average
62,The Legend of Tarzan,2016-06-29,109,2430,5.5,180.0,356.743061,176.743061,Average
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,143,2629,6.7,180.0,748.806957,568.806957,Average
64,X-Men: Apocalypse,2016-05-18,144,4721,6.4,178.0,543.934787,365.93478700000003,Average
65,The Dark Knight,2008-07-16,152,12002,8.2,185.0,1004.558444,819.558444,Good
66,Up,2009-05-13,96,6870,7.7,175.0,735.099082,560.099082,Good
67,Monsters vs Aliens,2009-03-19,94,1423,6.0,175.0,381.50987,206.50986999999998,Average
68,Iron Man,2008-04-30,126,8776,7.4,140.0,585.174222,445.174222,Good
69,Hugo,2011-11-22,126,2141,7.0,170.0,185.77016,15.770160000000004,Good
70,Wild Wild West,1999-06-29,106,1020,5.1,170.0,222.104681,52.104681,Average
71,The Mummy: Tomb of the Dragon Emperor,2008-07-01,112,1387,5.2,145.0,401.128639,256.128639,Average
72,Suicide Squad,2016-08-02,123,7458,5.9,175.0,745.0,570.0,Average
73,Evan Almighty,2007-06-09,96,1151,5.3,175.0,173.0,-2.0,Average
74,Edge of Tomorrow,2014-05-27,113,4858,7.6,178.0,370.541256,192.54125599999998,Good
75,Waterworld,1995-07-28,135,992,5.9,175.0,264.21822,89.21821999999997,Average
76,G.I. Joe: The Rise of Cobra,2009-08-04,118,1962,5.6,175.0,302.469017,127.46901700000001,Average
77,Inside Out,2015-06-09,94,6560,8.0,175.0,857.611174,682.611174,Good
78,The Jungle Book,2016-04-07,106,2892,6.7,175.0,966.5506,791.5506,Average
79,Iron Man 2,2010-04-28,124,6849,6.6,200.0,623.933331,423.93333099999995,Average
80,Snow White and the Huntsman,2012-05-30,127,3118,5.8,170.0,396.6,226.60000000000002,Average
81,Maleficent,2014-05-28,97,4496,7.0,180.0,758.539785,578.539785,Good
82,Dawn of the Planet of the Apes,2014-06-26,130,4410,7.3,170.0,710.644566,540.644566,Good
83,The Lovers,2015-02-13,109,34,4.8,27.0,0.0,-27.0,Poor
84,47 Ronin,2013-12-06,119,1326,5.9,175.0,150.962475,-24.037524999999988,Average
85,Captain America: The Winter Soldier,2014-03-20,136,5764,7.6,170.0,714.766572,544.766572,Good
86,Shrek Forever After,2010-05-16,93,1959,6.0,165.0,752.600867,587.600867,Average
87,Tomorrowland,2015-05-19,130,2846,6.2,190.0,209.154322,19.154322000000008,Average
88,Big Hero 6,2014-10-24,102,6135,7.8,165.0,652.105443,487.10544300000004,Good
89,Wreck-It Ralph,2012-11-01,108,4570,7.1,165.0,471.222889,306.222889,Good
90,The Polar Express,2004-11-10,100,1474,6.4,165.0,305.87573,140.87572999999998,Average
91,Independence Day: Resurgence,2016-06-22,120,2491,4.9,165.0,389.681935,224.681935,Poor
92,How to Train Your Dragon,2010-03-05,98,4227,7.5,165.0,494.878759,329.878759,Good
93,Terminator 3: Rise of the Machines,2003-07-02,109,2143,5.9,200.0,435.0,235.0,Average
94,Guardians of the Galaxy,2014-07-30,121,9742,7.9,170.0,773.328629,603.328629,Good
95,Interstellar,2014-11-05,169,10867,8.1,165.0,675.120017,510.12001699999996,Good
96,Inception,2010-07-14,148,13752,8.1,160.0,825.532764,665.532764,Good
97,Shin Godzilla,2016-07-29,120,143,6.5,15.0,77.0,62.0,Average
98,The Hobbit: An Unexpected Journey,2012-11-26,169,8297,7.0,250.0,1021.103568,771.103568,Good
99,The Fast and the Furious,2001-06-22,106,3428,6.6,38.0,207.283925,169.283925,Average
100,The Curious Case of Benjamin Button,2008-11-24,166,3292,7.3,150.0,333.932083,183.93208299999998,Good
101,X-Men: First Class,2011-05-24,132,5181,7.1,160.0,353.624124,193.624124,Good
102,The Hunger Games: Mockingjay - Part 2,2015-11-18,137,3984,6.6,160.0,653.428261,493.428261,Average
103,The Sorcerer's Apprentice,2010-07-13,109,1470,5.8,150.0,215.283742,65.28374199999999,Average
104,Poseidon,2006-05-12,99,583,5.5,160.0,181.674817,21.67481699999999,Average
105,Alice Through the Looking Glass,2016-05-25,113,1725,6.5,170.0,299.370084,129.37008400000002,Average
106,Shrek the Third,2007-05-17,93,2278,6.0,160.0,798.958165,638.958165,Average
107,Warcraft,2016-05-25,123,2268,6.3,160.0,433.677183,273.677183,Average
108,Terminator Genisys,2015-06-23,126,3631,5.8,155.0,440.603537,285.603537,Average
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,113,1514,6.2,155.0,415.686217,260.686217,Average
110,Pearl Harbor,2001-05-21,183,1791,6.6,140.0,449.220945,309.220945,Average
111,Transformers,2007-06-27,144,4040,6.6,150.0,709.70978,559.70978,Average
112,Alexander,2004-11-21,175,927,5.6,155.0,167.298192,12.298192,Average
113,Harry Potter and the Order of the Phoenix,2007-06-28,138,5494,7.4,150.0,938.212738,788.212738,Good
114,Harry Potter and the Goblet of Fire,2005-11-05,157,5608,7.5,150.0,895.921036,745.921036,Good
115,Hancock,2008-07-01,92,2961,6.2,150.0,624.029371,474.02937099999997,Average
116,I Am Legend,2007-12-14,101,4853,6.9,150.0,585.34901,435.34901,Average
117,Charlie and the Chocolate Factory,2005-07-13,115,3624,6.7,150.0,474.968763,324.968763,Average
118,Ratatouille,2007-06-22,111,4369,7.5,150.0,623.722818,473.72281799999996,Good
119,Batman Begins,2005-06-10,140,7359,7.5,150.0,374.218673,224.21867300000002,Good
120,Madagascar: Escape 2 Africa,2008-10-30,89,1810,6.2,150.0,603.900354,453.900354,Average
121,Night at the Museum: Battle of the Smithsonian,2009-05-20,105,1971,5.9,150.0,413.10617,263.10617,Average
122,X-Men Origins: Wolverine,2009-04-28,107,4021,6.2,150.0,373.062864,223.062864,Average
123,The Matrix Revolutions,2003-11-05,129,3096,6.4,150.0,424.988211,274.988211,Average
124,Frozen,2013-11-27,102,5295,7.3,150.0,1274.219009,1124.219009,Good
125,The Matrix Reloaded,2003-05-15,138,3443,6.7,150.0,738.599701,588.599701,Average
126,Thor: The Dark World,2013-10-29,112,4755,6.8,170.0,644.571402,474.57140200000003,Average
127,Mad Max: Fury Road,2015-05-13,120,9427,7.2,150.0,378.85834,228.85834,Good
128,Angels & Demons,2009-05-13,138,2129,6.5,150.0,356.613439,206.61343900000003,Average
129,Thor,2011-04-21,115,6525,6.6,150.0,449.326618,299.326618,Average
130,Bolt,2008-11-21,98,1750,6.3,150.0,309.979994,159.97999399999998,Average
131,G-Force,2009-07-21,88,510,5.1,150.0,292.817841,142.817841,Average
132,Wrath of the Titans,2012-03-27,99,1431,5.5,150.0,301.0,151.0,Average
133,Dark Shadows,2012-05-08,113,2320,5.7,150.0,245.527149,95.52714900000001,Average
134,Mission: Impossible - Rogue Nation,2015-07-23,131,3224,7.1,150.0,682.330139,532.330139,Good
135,The Wolfman,2010-02-11,102,549,5.5,150.0,0.0,-150.0,Average
136,Bee Movie,2007-10-28,91,1171,5.7,150.0,287.594577,137.59457700000002,Average
137,Kung Fu Panda 2,2011-05-25,91,1880,6.7,150.0,665.692281,515.692281,Average
138,The Last Airbender,2010-06-30,103,1151,4.7,150.0,318.502923,168.502923,Poor
139,Mission: Impossible III,2006-05-03,126,2028,6.5,150.0,397.850012,247.850012,Average
140,White House Down,2013-06-27,131,1891,6.4,150.0,205.366737,55.366737,Average
141,Mars Needs Moms,2011-03-09,88,199,5.5,150.0,38.992758,-111.00724199999999,Average
142,Flushed Away,2006-10-22,85,874,6.0,149.0,64.459316,-84.540684,Average
143,Pan,2015-09-24,111,954,5.9,150.0,128.38832,-21.611680000000007,Average
144,Mr. Peabody & Sherman,2014-02-07,92,843,6.7,145.0,272.91243,127.91242999999997,Average
145,Troy,2004-05-13,163,2759,6.9,175.0,497.409852,322.409852,Average
146,Madagascar 3: Europe's Most Wanted,2012-06-06,93,1808,6.4,145.0,746.921274,601.921274,Average
147,Die Another Day,2002-11-17,133,1092,5.8,140.0,431.971116,291.971116,Average
148,Ghostbusters,2016-07-14,116,2142,5.3,144.0,229.147509,85.14750900000001,Average
149,Armageddon,1998-07-01,151,2482,6.4,140.0,553.799566,413.799566,Average
150,Men in Black II,2002-07-03,88,3114,6.0,140.0,441.818803,301.818803,Average
151,Beowulf,2007-11-05,115,841,5.5,70.0,195.735876,125.73587599999999,Average
152,Kung Fu Panda 3,2016-01-23,95,1603,6.7,145.0,521.170825,376.17082500000004,Average
153,Mission: Impossible - Ghost Protocol,2011-12-07,133,3972,6.8,145.0,694.71338,549.71338,Average
154,Rise of the Guardians,2012-11-21,97,1922,7.1,145.0,306.94167,161.94167,Good
155,Fun with Dick and Jane,2005-12-21,90,627,5.9,100.0,202.026112,102.02611200000001,Average
156,The Last Samurai,2003-12-05,154,1895,7.3,140.0,456.758981,316.758981,Good
157,Exodus: Gods and Kings,2014-12-03,150,1921,5.6,140.0,268.031828,128.03182800000002,Average
158,Star Trek,2009-05-06,127,4518,7.4,150.0,385.680446,235.68044600000002,Good
159,Spider-Man,2002-05-01,121,5265,6.8,139.0,821.708551,682.708551,Average
160,How to Train Your Dragon 2,2014-06-12,102,3106,7.6,145.0,609.123048,464.12304800000004,Good
161,Gods of Egypt,2016-02-25,127,1277,5.3,140.0,150.680864,10.680864000000014,Average
162,Stealth,2005-07-28,121,331,4.9,135.0,76.932943,-58.067057000000005,Poor
163,Watchmen,2009-03-05,163,2811,7.0,130.0,185.258983,55.258983,Good
164,Lethal Weapon 4,1998-07-10,127,767,6.3,140.0,285.444603,145.44460299999997,Average
165,Hulk,2003-06-19,138,1533,5.3,137.0,245.36048,108.36048,Average
166,G.I. Joe: Retaliation,2013-03-26,110,3025,5.4,130.0,371.876278,241.876278,Average
167,Sahara,2005-04-06,124,434,5.7,130.0,119.269486,-10.730514,Average
