Source,Target,Type,Id,Label,timeset,Weight
267,1394,Directed,0,,,1
267,483,Directed,1,,,1
267,1051,Directed,2,,,1
904,1479,Directed,3,,,1
904,919,Directed,4,,,1
904,1045,Directed,5,,,1
904,1330,Directed,6,,,1
904,1108,Directed,7,,,1
904,995,Directed,8,,,1
904,963,Directed,9,,,1
904,1000,Directed,10,,,1
904,1192,Directed,11,,,1
904,1067,Directed,12,,,1
904,1270,Directed,13,,,1
904,1437,Directed,14,,,1
904,1037,Directed,15,,,1
903,855,Directed,16,,,1
903,1008,Directed,17,,,1
982,1429,Directed,18,,,1
982,952,Directed,19,,,1
982,892,Directed,20,,,1
982,1479,Directed,21,,,1
982,956,Directed,22,,,1
982,1306,Directed,23,,,1
982,810,Directed,24,,,1
982,1437,Directed,25,,,1
982,1112,Directed,26,,,1
982,1051,Directed,27,,,1
982,826,Directed,28,,,1
982,1478,Directed,29,,,1
982,979,Directed,30,,,1
982,1255,Directed,31,,,1
1167,963,Directed,32,,,1
1167,802,Directed,33,,,1
1167,842,Directed,34,,,1
1167,1408,Directed,35,,,1
1167,862,Directed,36,,,1
1167,1437,Directed,37,,,1
708,374,Directed,38,,,1
708,508,Directed,39,,,1
708,99,Directed,40,,,1
708,483,Directed,41,,,1
968,1063,Directed,42,,,1
968,297,Directed,43,,,1
968,756,Directed,44,,,1
968,919,Directed,45,,,1
968,936,Directed,46,,,1
968,862,Directed,47,,,1
968,898,Directed,48,,,1
968,1184,Directed,49,,,1
968,1250,Directed,50,,,1
968,539,Directed,51,,,1
968,1360,Directed,52,,,1
968,119,Directed,53,,,1
1223,878,Directed,54,,,1
1223,782,Directed,55,,,1
1223,1245,Directed,56,,,1
1223,323,Directed,57,,,1
1223,1463,Directed,58,,,1
1223,1277,Directed,59,,,1
1223,1429,Directed,60,,,1
1223,1478,Directed,61,,,1
1223,1325,Directed,62,,,1
1223,798,Directed,63,,,1
1223,1134,Directed,64,,,1
1223,1051,Directed,65,,,1
1223,490,Directed,66,,,1
1223,963,Directed,67,,,1
1223,1270,Directed,68,,,1
1223,1063,Directed,69,,,1
1223,1250,Directed,70,,,1
1223,944,Directed,71,,,1
1223,1179,Directed,72,,,1
1223,936,Directed,73,,,1
1223,967,Directed,74,,,1
1223,1330,Directed,75,,,1
1223,1461,Directed,76,,,1
1223,892,Directed,77,,,1
1223,932,Directed,78,,,1
1223,1041,Directed,79,,,1
1223,1086,Directed,80,,,1
1223,1112,Directed,81,,,1
1223,1337,Directed,82,,,1
1223,1152,Directed,83,,,1
1223,1191,Directed,84,,,1
1223,1435,Directed,85,,,1
1223,835,Directed,86,,,1
1223,1390,Directed,87,,,1
1223,1222,Directed,88,,,1
1223,1413,Directed,89,,,1
1223,1418,Directed,90,,,1
1223,818,Directed,91,,,1
1223,756,Directed,92,,,1
1223,941,Directed,93,,,1
1223,1013,Directed,94,,,1
1223,1217,Directed,95,,,1
1223,1437,Directed,96,,,1
1223,729,Directed,97,,,1
1223,150,Directed,98,,,1
1223,119,Directed,99,,,1
1223,1209,Directed,100,,,1
1223,1381,Directed,101,,,1
1223,1306,Directed,102,,,1
1223,1459,Directed,103,,,1
1223,883,Directed,104,,,1
1223,539,Directed,105,,,1
1223,1040,Directed,106,,,1
1223,641,Directed,107,,,1
993,1232,Directed,108,,,1
993,1051,Directed,109,,,1
993,1317,Directed,110,,,1
993,1461,Directed,111,,,1
993,1373,Directed,112,,,1
993,1459,Directed,113,,,1
993,276,Directed,114,,,1
993,941,Directed,115,,,1
993,1240,Directed,116,,,1
993,1298,Directed,117,,,1
993,1330,Directed,118,,,1
993,908,Directed,119,,,1
993,855,Directed,120,,,1
993,1179,Directed,121,,,1
993,1041,Directed,122,,,1
993,1112,Directed,123,,,1
993,1153,Directed,124,,,1
993,1245,Directed,125,,,1
993,837,Directed,126,,,1
993,170,Directed,127,,,1
993,1277,Directed,128,,,1
993,798,Directed,129,,,1
993,1217,Directed,130,,,1
993,878,Directed,131,,,1
993,1479,Directed,132,,,1
993,963,Directed,133,,,1
993,865,Directed,134,,,1
14,454,Directed,135,,,1
14,570,Directed,136,,,1
14,55,Directed,137,,,1
14,818,Directed,138,,,1
14,99,Directed,139,,,1
14,118,Directed,140,,,1
14,144,Directed,141,,,1
14,150,Directed,142,,,1
14,1337,Directed,143,,,1
14,155,Directed,144,,,1
14,650,Directed,145,,,1
14,180,Directed,146,,,1
14,323,Directed,147,,,1
14,1051,Directed,148,,,1
14,119,Directed,149,,,1
14,1086,Directed,150,,,1
14,347,Directed,151,,,1
14,405,Directed,152,,,1
14,480,Directed,153,,,1
14,493,Directed,154,,,1
14,492,Directed,155,,,1
14,729,Directed,156,,,1
14,885,Directed,157,,,1
14,932,Directed,158,,,1
14,563,Directed,159,,,1
14,577,Directed,160,,,1
14,1325,Directed,161,,,1
14,634,Directed,162,,,1
14,676,Directed,163,,,1
14,642,Directed,164,,,1
14,641,Directed,165,,,1
14,535,Directed,166,,,1
14,644,Directed,167,,,1
14,312,Directed,168,,,1
14,1152,Directed,169,,,1
14,1461,Directed,170,,,1
14,726,Directed,171,,,1
14,72,Directed,172,,,1
14,301,Directed,173,,,1
14,756,Directed,174,,,1
14,547,Directed,175,,,1
14,154,Directed,176,,,1
14,297,Directed,177,,,1
14,187,Directed,178,,,1
14,460,Directed,179,,,1
14,495,Directed,180,,,1
14,387,Directed,181,,,1
14,394,Directed,182,,,1
14,434,Directed,183,,,1
14,441,Directed,184,,,1
14,189,Directed,185,,,1
14,669,Directed,186,,,1
14,591,Directed,187,,,1
14,1317,Directed,188,,,1
14,1437,Directed,189,,,1
14,483,Directed,190,,,1
14,1478,Directed,191,,,1
14,1479,Directed,192,,,1
14,1179,Directed,193,,,1
14,687,Directed,194,,,1
14,1041,Directed,195,,,1
14,798,Directed,196,,,1
1238,1250,Directed,197,,,1
1238,892,Directed,198,,,1
1238,276,Directed,199,,,1
1238,990,Directed,200,,,1
1238,1051,Directed,201,,,1
1238,1055,Directed,202,,,1
1238,1153,Directed,203,,,1
1238,1185,Directed,204,,,1
1238,1232,Directed,205,,,1
1238,1245,Directed,206,,,1
1238,893,Directed,207,,,1
1238,1437,Directed,208,,,1
1238,1461,Directed,209,,,1
1238,963,Directed,210,,,1
1238,1270,Directed,211,,,1
891,155,Directed,212,,,1
891,855,Directed,213,,,1
891,1245,Directed,214,,,1
891,826,Directed,215,,,1
891,979,Directed,216,,,1
766,1159,Directed,217,,,1
766,855,Directed,218,,,1
766,913,Directed,219,,,1
766,1293,Directed,220,,,1
434,24,Directed,221,,,1
434,46,Directed,222,,,1
434,55,Directed,223,,,1
434,115,Directed,224,,,1
434,85,Directed,225,,,1
434,102,Directed,226,,,1
434,114,Directed,227,,,1
434,480,Directed,228,,,1
434,154,Directed,229,,,1
434,155,Directed,230,,,1
434,159,Directed,231,,,1
434,75,Directed,232,,,1
434,180,Directed,233,,,1
434,172,Directed,234,,,1
434,210,Directed,235,,,1
434,229,Directed,236,,,1
434,204,Directed,237,,,1
434,641,Directed,238,,,1
434,664,Directed,239,,,1
434,402,Directed,240,,,1
434,405,Directed,241,,,1
434,363,Directed,242,,,1
434,465,Directed,243,,,1
434,436,Directed,244,,,1
434,443,Directed,245,,,1
434,441,Directed,246,,,1
434,472,Directed,247,,,1
434,483,Directed,248,,,1
434,492,Directed,249,,,1
434,493,Directed,250,,,1
434,514,Directed,251,,,1
434,517,Directed,252,,,1
434,591,Directed,253,,,1
434,754,Directed,254,,,1
434,623,Directed,255,,,1
434,637,Directed,256,,,1
434,642,Directed,257,,,1
434,676,Directed,258,,,1
434,535,Directed,259,,,1
434,687,Directed,260,,,1
434,341,Directed,261,,,1
434,1270,Directed,262,,,1
434,23,Directed,263,,,1
434,726,Directed,264,,,1
434,1245,Directed,265,,,1
1161,1463,Directed,266,,,1
1161,1250,Directed,267,,,1
1161,1000,Directed,268,,,1
1161,1122,Directed,269,,,1
1161,810,Directed,270,,,1
1161,779,Directed,271,,,1
1161,781,Directed,272,,,1
1161,798,Directed,273,,,1
1161,826,Directed,274,,,1
1161,919,Directed,275,,,1
1161,961,Directed,276,,,1
1161,966,Directed,277,,,1
1161,1191,Directed,278,,,1
1161,1021,Directed,279,,,1
1161,1045,Directed,280,,,1
1161,1051,Directed,281,,,1
1161,1055,Directed,282,,,1
1161,119,Directed,283,,,1
1161,1069,Directed,284,,,1
1161,1101,Directed,285,,,1
1161,1121,Directed,286,,,1
1161,1112,Directed,287,,,1
1161,1135,Directed,288,,,1
1161,1153,Directed,289,,,1
1161,1437,Directed,290,,,1
1161,1223,Directed,291,,,1
1161,1231,Directed,292,,,1
1161,1245,Directed,293,,,1
1161,539,Directed,294,,,1
1161,1277,Directed,295,,,1
1161,1317,Directed,296,,,1
1161,1325,Directed,297,,,1
1161,1337,Directed,298,,,1
1161,1330,Directed,299,,,1
1161,1179,Directed,300,,,1
1161,932,Directed,301,,,1
1161,1013,Directed,302,,,1
1161,1429,Directed,303,,,1
1161,1478,Directed,304,,,1
1161,1479,Directed,305,,,1
1161,855,Directed,306,,,1
1364,963,Directed,307,,,1
1364,1146,Directed,308,,,1
1364,980,Directed,309,,,1
1364,1105,Directed,310,,,1
1364,1479,Directed,311,,,1
1364,1306,Directed,312,,,1
1364,1201,Directed,313,,,1
1364,1153,Directed,314,,,1
1364,1000,Directed,315,,,1
1364,1251,Directed,316,,,1
1364,802,Directed,317,,,1
1364,1041,Directed,318,,,1
1364,1112,Directed,319,,,1
1364,1245,Directed,320,,,1
1364,950,Directed,321,,,1
1364,1206,Directed,322,,,1
1364,1489,Directed,323,,,1
1364,946,Directed,324,,,1
1364,952,Directed,325,,,1
1364,1045,Directed,326,,,1
1364,1330,Directed,327,,,1
1364,1101,Directed,328,,,1
1364,930,Directed,329,,,1
1364,1093,Directed,330,,,1
1364,842,Directed,331,,,1
1364,814,Directed,332,,,1
1364,1402,Directed,333,,,1
1364,1366,Directed,334,,,1
1364,1037,Directed,335,,,1
1364,775,Directed,336,,,1
1364,1437,Directed,337,,,1
1024,885,Directed,338,,,1
1024,1479,Directed,339,,,1
1024,1346,Directed,340,,,1
1024,762,Directed,341,,,1
1024,1007,Directed,342,,,1
1024,822,Directed,343,,,1
1024,1051,Directed,344,,,1
1024,973,Directed,345,,,1
1024,1437,Directed,346,,,1
1024,941,Directed,347,,,1
1024,922,Directed,348,,,1
1024,1489,Directed,349,,,1
1024,1172,Directed,350,,,1
1024,963,Directed,351,,,1
1024,1067,Directed,352,,,1
1024,1000,Directed,353,,,1
765,1153,Directed,354,,,1
765,1250,Directed,355,,,1
765,1482,Directed,356,,,1
765,824,Directed,357,,,1
765,1051,Directed,358,,,1
765,830,Directed,359,,,1
765,1041,Directed,360,,,1
765,963,Directed,361,,,1
765,1245,Directed,362,,,1
765,1251,Directed,363,,,1
765,1455,Directed,364,,,1
765,1122,Directed,365,,,1
765,762,Directed,366,,,1
765,855,Directed,367,,,1
765,878,Directed,368,,,1
765,1121,Directed,369,,,1
765,990,Directed,370,,,1
765,1008,Directed,371,,,1
765,1048,Directed,372,,,1
765,1112,Directed,373,,,1
765,1270,Directed,374,,,1
765,1179,Directed,375,,,1
765,1463,Directed,376,,,1
765,1063,Directed,377,,,1
765,1081,Directed,378,,,1
765,826,Directed,379,,,1
765,150,Directed,380,,,1
765,1164,Directed,381,,,1
765,961,Directed,382,,,1
765,1209,Directed,383,,,1
765,1222,Directed,384,,,1
765,1232,Directed,385,,,1
765,1293,Directed,386,,,1
765,1392,Directed,387,,,1
765,1191,Directed,388,,,1
765,1437,Directed,389,,,1
765,1461,Directed,390,,,1
765,1479,Directed,391,,,1
765,988,Directed,392,,,1
765,885,Directed,393,,,1
765,1330,Directed,394,,,1
765,741,Directed,395,,,1
765,792,Directed,396,,,1
765,936,Directed,397,,,1
765,490,Directed,398,,,1
765,641,Directed,399,,,1
765,1419,Directed,400,,,1
765,729,Directed,401,,,1
765,782,Directed,402,,,1
765,791,Directed,403,,,1
765,119,Directed,404,,,1
765,883,Directed,405,,,1
765,1152,Directed,406,,,1
765,1197,Directed,407,,,1
765,1277,Directed,408,,,1
765,1306,Directed,409,,,1
765,1317,Directed,410,,,1
765,952,Directed,411,,,1
765,1418,Directed,412,,,1
765,1429,Directed,413,,,1
765,1459,Directed,414,,,1
765,1478,Directed,415,,,1
765,786,Directed,416,,,1
765,1101,Directed,417,,,1
765,1348,Directed,418,,,1
765,154,Directed,419,,,1
765,798,Directed,420,,,1
765,155,Directed,421,,,1
765,170,Directed,422,,,1
765,55,Directed,423,,,1
765,756,Directed,424,,,1
765,609,Directed,425,,,1
765,535,Directed,426,,,1
765,389,Directed,427,,,1
535,1179,Directed,428,,,1
535,323,Directed,429,,,1
535,677,Directed,430,,,1
535,729,Directed,431,,,1
535,493,Directed,432,,,1
535,396,Directed,433,,,1
535,453,Directed,434,,,1
535,85,Directed,435,,,1
535,405,Directed,436,,,1
535,756,Directed,437,,,1
535,641,Directed,438,,,1
535,55,Directed,439,,,1
535,480,Directed,440,,,1
535,150,Directed,441,,,1
535,155,Directed,442,,,1
535,159,Directed,443,,,1
535,180,Directed,444,,,1
535,1051,Directed,445,,,1
535,145,Directed,446,,,1
535,301,Directed,447,,,1
535,99,Directed,448,,,1
535,186,Directed,449,,,1
535,727,Directed,450,,,1
535,394,Directed,451,,,1
535,187,Directed,452,,,1
535,441,Directed,453,,,1
535,460,Directed,454,,,1
535,210,Directed,455,,,1
535,642,Directed,456,,,1
535,514,Directed,457,,,1
535,1463,Directed,458,,,1
535,687,Directed,459,,,1
1270,442,Directed,460,,,1
1270,1041,Directed,461,,,1
1270,1153,Directed,462,,,1
1270,1179,Directed,463,,,1
1270,1245,Directed,464,,,1
180,27,Directed,465,,,1
180,609,Directed,466,,,1
180,154,Directed,467,,,1
180,585,Directed,468,,,1
180,454,Directed,469,,,1
180,640,Directed,470,,,1
180,547,Directed,471,,,1
180,55,Directed,472,,,1
180,756,Directed,473,,,1
180,729,Directed,474,,,1
180,374,Directed,475,,,1
180,642,Directed,476,,,1
180,210,Directed,477,,,1
180,634,Directed,478,,,1
180,703,Directed,479,,,1
180,144,Directed,480,,,1
180,492,Directed,481,,,1
180,650,Directed,482,,,1
180,641,Directed,483,,,1
180,493,Directed,484,,,1
180,644,Directed,485,,,1
180,623,Directed,486,,,1
180,72,Directed,487,,,1
180,664,Directed,488,,,1
180,35,Directed,489,,,1
180,669,Directed,490,,,1
180,687,Directed,491,,,1
180,591,Directed,492,,,1
180,297,Directed,493,,,1
180,563,Directed,494,,,1
180,363,Directed,495,,,1
180,65,Directed,496,,,1
180,387,Directed,497,,,1
180,14,Directed,498,,,1
180,394,Directed,499,,,1
180,441,Directed,500,,,1
180,31,Directed,501,,,1
180,145,Directed,502,,,1
180,155,Directed,503,,,1
180,434,Directed,504,,,1
180,460,Directed,505,,,1
180,570,Directed,506,,,1
180,347,Directed,507,,,1
180,483,Directed,508,,,1
180,577,Directed,509,,,1
180,754,Directed,510,,,1
180,566,Directed,511,,,1
180,712,Directed,512,,,1
180,489,Directed,513,,,1
180,150,Directed,514,,,1
180,436,Directed,515,,,1
180,371,Directed,516,,,1
180,472,Directed,517,,,1
180,288,Directed,518,,,1
180,676,Directed,519,,,1
180,189,Directed,520,,,1
180,205,Directed,521,,,1
180,615,Directed,522,,,1
180,118,Directed,523,,,1
180,512,Directed,524,,,1
180,187,Directed,525,,,1
180,202,Directed,526,,,1
180,13,Directed,527,,,1
180,1051,Directed,528,,,1
180,405,Directed,529,,,1
180,826,Directed,530,,,1
180,431,Directed,531,,,1
180,1245,Directed,532,,,1
180,561,Directed,533,,,1
180,726,Directed,534,,,1
180,798,Directed,535,,,1
1169,1153,Directed,536,,,1
1216,431,Directed,537,,,1
1216,798,Directed,538,,,1
1216,802,Directed,539,,,1
1216,155,Directed,540,,,1
1216,1021,Directed,541,,,1
1216,1051,Directed,542,,,1
1216,1112,Directed,543,,,1
1216,1134,Directed,544,,,1
1216,995,Directed,545,,,1
1216,641,Directed,546,,,1
1216,963,Directed,547,,,1
1082,762,Directed,548,,,1
1082,968,Directed,549,,,1
1082,944,Directed,550,,,1
1082,964,Directed,551,,,1
1082,1455,Directed,552,,,1
1082,312,Directed,553,,,1
1082,1101,Directed,554,,,1
1082,1144,Directed,555,,,1
1082,1150,Directed,556,,,1
1082,1197,Directed,557,,,1
1082,817,Directed,558,,,1
1082,1310,Directed,559,,,1
1082,1184,Directed,560,,,1
1254,1153,Directed,561,,,1
1254,963,Directed,562,,,1
1254,1047,Directed,563,,,1
1254,773,Directed,564,,,1
1254,941,Directed,565,,,1
1254,1028,Directed,566,,,1
1254,879,Directed,567,,,1
1254,387,Directed,568,,,1
1254,956,Directed,569,,,1
1254,904,Directed,570,,,1
1254,907,Directed,571,,,1
1254,1052,Directed,572,,,1
1254,1201,Directed,573,,,1
1254,782,Directed,574,,,1
1254,762,Directed,575,,,1
1254,990,Directed,576,,,1
1254,1101,Directed,577,,,1
250,1021,Directed,578,,,1
250,544,Directed,579,,,1
250,727,Directed,580,,,1
250,564,Directed,581,,,1
932,1048,Directed,582,,,1
932,826,Directed,583,,,1
932,919,Directed,584,,,1
932,1339,Directed,585,,,1
932,1461,Directed,586,,,1
402,401,Directed,587,,,1
402,642,Directed,588,,,1
402,493,Directed,589,,,1
402,155,Directed,590,,,1
402,23,Directed,591,,,1
402,55,Directed,592,,,1
402,85,Directed,593,,,1
402,102,Directed,594,,,1
402,127,Directed,595,,,1
402,188,Directed,596,,,1
402,204,Directed,597,,,1
402,233,Directed,598,,,1
402,292,Directed,599,,,1
402,363,Directed,600,,,1
402,434,Directed,601,,,1
402,443,Directed,602,,,1
402,472,Directed,603,,,1
402,492,Directed,604,,,1
402,514,Directed,605,,,1
402,588,Directed,606,,,1
402,641,Directed,607,,,1
402,535,Directed,608,,,1
402,483,Directed,609,,,1
402,756,Directed,610,,,1
947,798,Directed,611,,,1
947,826,Directed,612,,,1
947,892,Directed,613,,,1
947,1179,Directed,614,,,1
947,919,Directed,615,,,1
947,1051,Directed,616,,,1
947,1086,Directed,617,,,1
947,1101,Directed,618,,,1
947,1245,Directed,619,,,1
947,1293,Directed,620,,,1
947,1306,Directed,621,,,1
947,1049,Directed,622,,,1
947,1337,Directed,623,,,1
947,1021,Directed,624,,,1
947,1055,Directed,625,,,1
947,1148,Directed,626,,,1
947,963,Directed,627,,,1
947,170,Directed,628,,,1
660,729,Directed,629,,,1
660,641,Directed,630,,,1
660,55,Directed,631,,,1
660,155,Directed,632,,,1
660,233,Directed,633,,,1
660,726,Directed,634,,,1
660,535,Directed,635,,,1
660,405,Directed,636,,,1
